date,desc,star,title,writer
21.01.20,"갑자기 세상을 떠난 아버지의 장례식 비용을 마련하기 위해 팔순잔치에 가게 된 남자와 홀로 장례식장을 지키는 여동생의 이야기를 그린 드라마, 가족영화다. 제 24회 부천판타스틱영화제 작품상등 4관왕 수상작이다. 나는 우리나라 거대자본에 의해 만들어지는 상업영화의 빛과 그림자를 보고 자란 세대다. 영화를 사랑하는 사람으로 한국영화의 본질적인 예술의 권역인 창작으로서의 제자리 걸음을 소위 상업영화를 통해서 느끼면서 왜 우린 독립영화를 아끼고 사랑하지 않으면 안되는지에 대한 확신같은 것이 생겨났다. 상업영화는 재미가 없으면 망한다는 공식은 투자한 자본에 비례하여 관객의 수에 좌지우지 되는 영화기에 잘 되면 대박이요. 안되면 쪽박을 차는 경우가 허다하다. 의미가 담겨있거나 메세시가 숨겨져 있으면서 감독의 창작 의도가 분명한 소위 인디영화가 오늘따라 더 크고 소중하게 보인다. 좋은 인디영화 한편을 보는 것은 헌책방에서 어렵게 구한 좋은 시집 한권을 음미하는 기분이랄까? 그래서 난 잔칫날과 같은 좋은 독립영화를 찾아서 보는 것을 즐긴다. 이영화는 울고 싶은 날에 마음껏 울지 못하는 남매의 애틋한 이야기를 각박한 현실에 대비시켜 사실감있게 보여주는 영화다. 가난하여 병원비를 걱정해야 했고 가난때문에 아버지 장례식장을 지키지 못하고 남의 집 팔순잔치에 사회를 보러 가서 웃어야 하는 기구한 처지를 절절하게 보여준다. 가족이 해체되는 현대사회에 비록 가난하지만 진정한 사랑의 의미를 깨닫게 해주는 감동적인 영화다. 아버지의 죽음 앞에 던져진 두남매의 아무것도 가진 것 없음에 사람들은 제각각 자기가 보는 것만 보고 자기가 생각하는 대로 행동하는 야속한 이방인일 뿐이다. 영화의 초중반의 전개는 친구나 가족마저도 남매에게는 비정한 인물들로 비춰진다. 그러나 영화의 결말은 훈훈하다. 그동안 쌓여있는 설움과 원망과 한이 봄눈 녹듯이 한순간에 녹아 내리면서 아버지의 추억이 깃든 바닷가에서 울지 못했던 눈물을 쏟아내는 장면을 볼 때는 가슴이 먹먹해지고 찡한 두가지 감정을 동시에 느끼게 한다.",9,잔칫날,bung****
21.01.20,평가하기가 좀그렇네요,2,차인표,yoos****
21.01.20,그냥 눈물이 나네요. 꼭 한번 보시길 추천합니다.,10,디지몬 어드벤처 라스트 에볼루션 : 인연,hwan****
21.01.20,연출 스토리 연기 영상미 다 고냥 고냥 일본 영화,6,"나는 내일, 어제의 너와 만난다",nars****
21.01.20,너무 힘든시기에 큰 울림을 주었습니다.거창한 목표나 목적이 없다고해서 살아가는 의미가 없는것은 아닙니다.과거와 미래에 잡혀있지않는 현재를 열심히 살아가는 사람이 되어야겠다고 느낀 영화입니다.,10,소울,ekdu****
21.01.20,"각 인물들이 보여주는 자멸.. 그로 인해 스스로 생각하게 되는 내 자멸은 무엇인가.. 시간이 지나도 영화의 이 영화의 영상미는 계속 기억 될 것 같아요. 아름다움, 신비로움",8,서던 리치: 소멸의 땅,dnfl****
21.01.20,재즈영화여서 귀 호강을 기대하고 봤더니 심금을 울리네,10,소울,leah****
21.01.20,소재 참신!!연출과 긴장감 굿!!!사운드 빵빵하게 영화관 굿굿굿!!!^^,10,커넥트,anne****
21.01.20,코코가 슬픈기억과 죽음을 아름답게 표현했다면소울은 탄생과 살아가야하는 이유를 따뜻하게 표현했다..정말 픽사의 상상력은 어디까지인가...,10,소울,noye****
21.01.20,살아가야 할 이유는 대단한 것이 아닌 아주 작은것에서도 찾을 수 있다. 너무도 당연하게 생각하지만 가장 소중한 것은 평범한 일상이라는 메세지가 이 시기에 더 와닿는다.,10,소울,chde****
date,desc,star,title,writer
21.01.27,이영화를 지금본 제 자신에게 사과해야 할 거 같습니다 이영화의 여운이 잊혀지질않네요 오랜만에 이렇게 슬펐고 감동적인 기분을 느꼈습니다 꼭보세요 진짜 당신이 가능한 빨리,10,타이타닉,dlwl****
21.01.27,너무 실망했습니다 ...ㅠㅠ재미도 감동도 입체감도 없는,3,소울,dudg****
21.01.27,어후 너무 끔찍하네요. 특히 결혼생활이 비극으로 끝난 엘리베이터남은 가여우면서도 끔찍해서 원... 무료관람권이 있고 시간이 딱 맞아 보긴 했어도 이건 좀 후회됨. 다른 더 좋은 영화를 볼 걸.,5,모추어리 컬렉션,lulu****
21.01.27,다소 유치해보일수 있다.20년이 다되어가는 시즘에 다시보니 전지현의 눈빛과 세월이지난 ost에 가슴이 먹먹해진다.,10,내 여자친구를 소개합니다,zpwh****
21.01.27,영화 속 좀비세계보다 이 영화를 본 내가 더 재앙,10,젝스키스 에이틴,anse****
21.01.27,이레 연기 좋고 강동원좋아하는 배우 ^^재밌어요,1,#살아있다,musi****
21.01.27,봤던 영화 다시 보는 일 거의 없는데 이영화는 다섯번을 봤어요... 볼때마다 매번 오열하는.. 한번쯤 꼭 보세요 다들 ..,10,반도,ryou****
21.01.27,가슴이 따듯해지는 재미있는 영화 최고,10,블랙,0414****
21.01.27,평점알바있다더니 확실한듯ㅋ,10,오! 문희,ryou****
